,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
468,Infectious Diseases and Therapy,2725; 2726; ,Cost and Impact on Patient Length of Stay of Rapid Molecular Testing for Clostridium difficile,2014,in,main data source for new analysis,,
469,Informatics in Primary Care,2714; 2718; 2911; ,"Using routine data to conduct small area health needs assessment through observing trends in Demographics, recording of common mental health problems (CMHPs) and sickness certificates: Longitudinal analysis of a northern and London locality",2011,in,"ancillary data source for new analysis (e.g., as base map)",,
470,Informatics in Primary Care,2714; 2718; 2911; ,"Generalisability of the Health Improvement Network (THIN) database: Demographics, chronic disease prevalence and mortality rates",2011,in,"ancillary data source for new analysis (e.g., as base map)",,
471,Information Systems,1708; 1710; 1712; ,Urban navigation beyond shortest route: The case of safe paths,2016,in,main data source for new analysis,,
472,Injury Prevention,2739; ,Data sharing for prevention: A case study in the development of a comprehensive emergency department injury surveillance system and its use in preventing violence and alcohol-related harms,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
473,Insurance: Mathematics and Economics,1804; 2002; 2613; ,"Optimal consumption, investment and housing with means-tested public pension in retirement",2017,in,Providing study background,,
474,Intellectual and Developmental Disabilities,2738; 2905; 3204; 3304; 2735; ,Quality of life indicators for individuals with intellectual disabilities: Extending current practice,2013,in,others,,
475,Interfaces,1405; 1803; 1408; ,Guiding school-choice reform through novel applications of operations research,2015,in,Providing study background,,
476,International Anesthesiology Clinics,2703; ,A Matter of Mice and Men: Ethical Issues in Animal Experimentation,2015,in,main data source for new analysis,,
477,International Food and Agribusiness Management Review,1403; 1106; ,Shocks to a trading system: Northeast Asia poultry trade and avian influenza,2015,in,Providing study background,,
478,"International Journal for Crime, Justice and Social Democracy",3308; 3312; ,"Policing welfare: Risk, gender and criminality",2016,in,others,,
479,International Journal for Equity in Health,2739; 2719; ,A cross-sectional ecological study of spatial scale and geographic inequality in access to drinkingwater and sanitation,2014,in,main data source for new analysis,,
480,International Journal for Equity in Health,2739; 2719; ,Care seeking pathways of older adults with hip fracture in India: Exploratory study protocol,2015,in,Providing study background,,
481,International Journal for Equity in Health,2739; 2719; ,Trends in self-rated health and association with socioeconomic position in Estonia: Data from cross-sectional studies in 1996-2014,2016,in,aiding result interpreting,,
482,International Journal for Equity in Health,2739; 2719; ,"Socioeconomic deprivation as a determinant of cancer mortality and the Hispanic paradox in Texas, USA",2013,in,main data source for new analysis,y,
483,International Journal of Applied Engineering Research,2200; ,Visible neighbor search using skyline query,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
484,International Journal of Behavioral Nutrition and Physical Activity,2916; 3612; 2701; ,"Characterising food environment exposure at home, at work, and along commuting journeys using data on adults in the UK",2013,in,main data source for new analysis,,
485,International Journal of Behavioral Nutrition and Physical Activity,2916; 3612; 2701; ,Sociospatial distribution of access to facilities for moderate and vigorous intensity physical activity in Scotland by different modes of transport,2012,in,main data source for new analysis,,
486,International Journal of Behavioral Nutrition and Physical Activity,2916; 3612; 2701; ,Randomised feasibility trial of a teaching assistant led extracurricular physical activity intervention for 9 to 11 year olds: Action 3:30,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
487,International Journal of Behavioral Nutrition and Physical Activity,2916; 3612; 2701; ,Change in children鈥檚 physical activity and sedentary time between Year 1 and Year 4 of primary school in the B-PROACT1V cohort,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
488,International Journal of Cancer,1306; 2730; ,Gender and ethnic differences in incidence and survival of lymphoid neoplasm subtypes in an Asian population: Secular trends of a population-based cancer registry from 1998 to 2012,2015,in,aiding result interpreting,,
489,International Journal of Coal Geology,1913; 1905; 1907; 2103; ,"Microbial controls on the origin and evolution of coal seam gases and production waters of the Walloon Subgroup; Surat Basin, Australia",2015,in,Providing study background,,
490,International Journal of Coal Geology,1913; 1905; 1907; 2103; ,"Horizontal stress anisotropy and effective stress as regulator of coal seam gas zonation in the Sydney Basin, Australia",2014,in,main data source for new analysis,,
491,International Journal of Communication,3315; ,The obama factor: Change and stability in cultural and political anti-americanism,2015,in,Providing study background,,
492,International Journal of Crashworthiness,2209; 2210; 3313; ,Hybrid RFID system for driver assistant and active road accident prevention,2016,in,Providing study background,,
493,International Journal of Crashworthiness,2209; 2210; 3313; ,Data mining on road safety: Factor assessment on vehicle accidents using classification models,2016,in,main data source for new analysis,,
494,International Journal of Cultural Property,1209; 3314; 1202; 3316; 1206; ,Replicating Elite Dominance in Intangible Cultural Heritage Safeguarding: The Role of Local Government-Scholar Networks in China,2016,in,aiding result interpreting,,
495,International Journal of Digital Earth,1900; 1706; 1712; ,"A Web-based system enabling the integration, analysis, and 3D sub-surface visualization of groundwater monitoring data and geological models",2016,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
496,International Journal of Disaster Resilience in the Built Environment,2213; 2215; ,Disaster impact analysis based on inter-relationship of critical infrastructure and associated industries: A winter flood disaster event,2010,in,main data source for new analysis,,
497,International Journal of Disaster Risk Reduction,1907; 3311; 1909; ,How did the 2012 drought affect rural livelihoods in vulnerable areas? Empirical evidence from India,2015,in,main data source for new analysis,,
498,International Journal of Drug Policy,2719; 2701; ,Piloting a 'spatial isolation' index: The built environment and sexual and drug use risks to sex workers,2014,in,main data source for new analysis,,
499,International Journal of Environmental Research and Public Health,2307; 2739; ,"Adult psychotic symptoms, their associated risk factors and changes in prevalence in men and women over a decade in a poor rural district of Kenya",2015,in,aiding result interpreting,,
500,International Journal of Environmental Research and Public Health,2307; 2739; ,"A longitudinal study of long-term change in contamination hazards and shallow well quality in two neighbourhoods of Kisumu, Kenya",2015,in,Providing study background,,
501,International Journal of Environmental Research and Public Health,2307; 2739; ,A primrose path? Moderating effects of age and gender in the association between green space and mental health,2016,in,main data source for new analysis,,
502,International Journal of Environmental Research and Public Health,2307; 2739; ,"Is increasing coal seam gas well development activity associated with increasing hospitalisation rates in Queensland, Australia? An exploratory analysis 1995鈥?011",2017,in,main data source for new analysis,,
503,International Journal of Environmental Research and Public Health,2307; 2739; ,Examining associations of environmental characteristics with recreational cycling behaviour by street-level strava data,2017,in,main data source for new analysis,,
504,International Journal of Environmental Research and Public Health,2307; 2739; ,Utilizing crowdsourced data for studies of cycling and air pollution exposure: A case study using strava data,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
505,International Journal of Environmental Research and Public Health,2307; 2739; ,The development of psychiatric services providing an alternative to full-time hospitalization is associated with shorter length of stay in French public psychiatry,2017,in,main data source for new analysis,,
506,International Journal of Environmental Research and Public Health,2307; 2739; ,Regionalizing aquatic ecosystems based on the river subbasin taxonomy concept and spatial clustering techniques,2011,in,Providing study background,,
