Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
Public transport accessibility in metropolitan areas: A new approach incorporating population density,2016,Journal of Transport Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Population displacement after the 2007 floods in Kingston upon Hull, England",2016,Journal of Flood Risk Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Rethinking public land ownership and urban development: A Canadian perspective,2016,Cities,in,aiding result interpreting,,,,,,,,,,,,,,,,,
"Regional trends in Scottish advisory soil acidity and phosphorus results: Significance of management history, land use and soil attributes",2016,Soil Use and Management,in,Providing study background,,,,,,,,,,,,,,,,,
Supporting language in schools: Evaluating an intervention for children with delayed language in the early school years,2016,Child Language Teaching and Therapy,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Area variations in multiple morbidity using a life table methodology,2016,Health Services and Outcomes Research Methodology,in,Providing study background,,,,,,,,,,,,,,,,,
Traffic sign vandalism and demographics of local population: A case study in Utah,2016,Journal of Traffic and Transportation Engineering (English Edition),in,main data source for new analysis,,,,,,,,,,,,,,,,,
Relationship between heavy vehicle speed limit and fleet fuel consumption on minor roads,2016,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Performing 鈥淓ast Van鈥? Spatial Identifications and Class Anxieties,2016,Journal of Contemporary Ethnography,in,Providing study background,,,,,,,,,,,,,,,,,
A randomised controlled trial of laser scanning and casting for the construction of ankle-foot orthoses,2016,Prosthetics and Orthotics International,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Short-term smoking cessation in english resident adults of Bangladeshi origin: A service review,2016,Nicotine and Tobacco Research,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
An electric-vehicle-based supplementary power delivery system,2016,"2015 IEEE International Conference on Smart Grid Communications, SmartGridComm 2015",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Data mining on road safety: Factor assessment on vehicle accidents using classification models,2016,International Journal of Crashworthiness,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Simulating runoff under changing climatic conditions: Revisiting an apparent deficiency of conceptual rainfall-runoff models,2016,Water Resources Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Imagined communities? Contextualizing claims about the White working class,2016,Dialogues in Human Geography,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"In sickness and in health: A cross-sectional analysis of concordance for musculoskeletal pain in 13,507 couples",2016,European Journal of Pain (United Kingdom),in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Everyday family experiences of the financial crisis: Getting by in the recent economic recession,2016,Journal of Economic Geography,in,aiding result interpreting,,,,,,,,,,,,,,,,,
An evaluation of a multi-component adult weight management on referral intervention in a community setting,2016,BMC Research Notes,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Predicting psychiatric inpatient costs,2016,Social Psychiatry and Psychiatric Epidemiology,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Traffic big data prediction and visualization using Fast Incremental Model Trees-Drift Detection (FIMT-DD),2016,Knowledge-Based Systems,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Economic cost of campylobacter, norovirus and rotavirus disease in the United Kingdom",2016,PLoS ONE,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The compositional and configurational heterogeneity of matrix habitats shape woodland carabid communities in wooded-agricultural landscapes,2016,Landscape Ecology,in,aiding result interpreting,,,,,,,,,,,,,,,,,
"Fault segmentation: New concepts from the Wasatch Fault Zone, Utah, USA",2016,Journal of Geophysical Research B: Solid Earth,in,"ancillary data source for new analysis (e.g., as base map)",,base map,,,,,,,,,,,,,,,
Clinical effectiveness and cost-effectiveness of collaborative care for depression in UK primary care (CADET): A cluster randomised controlled trial,2016,Health Technology Assessment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
PSO-SVR: A hybrid short-term traffic flow forecasting method,2016,Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Understanding and enhancing pupils鈥?learning progress in schools in deprived communities,2016,Education 3-13,in,Providing study background,,,,,,,,,,,,,,,,,
Mapping disturbance dynamics in wet sclerophyll forests using time series Landsat,2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
Safety impacts of platform tram stops on pedestrians in mixed traffic operation: A comparison group before-after crash study,2016,Accident Analysis and Prevention,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Evaluation of a regional retrofit programme to upgrade existing housing stock to reduce carbon emissions, fuel poverty and support the local supply chain",2016,Sustainability (Switzerland),in,Providing study background,,multi-source,,,,,,,,,,,,,,,
Performance of self-organized and Metacognitive Neurofuzzy system for traffic flow prediction,2016,International Journal of Pure and Applied Mathematics,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Demand prediction and placement optimization for electric vehicle charging stations,2016,IJCAI International Joint Conference on Artificial Intelligence,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
A novel geographical information systems framework to characterize photovoltaic deployment in the UK: Initial evidence,2016,Energies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Animal ethics profiling of vegetarians, vegans and meat-eaters",2016,Anthrozoos,in,Providing study background,,,,,,,,,,,,,,,,,
Modelling the human and economic costs of major industrial accidents,2016,Institution of Chemical Engineers Symposium Series,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Symptoms and patient factors associated with diagnostic intervals for pancreatic cancer (SYMPTOM pancreatic study): a prospective cohort study,2016,The Lancet Gastroenterology and Hepatology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Service factors causing delay in specialist assessment for TIA and minor stroke: A qualitative study of GP and patient perspectives,2016,BMJ Open,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Quantifying uncertainty in predictions of groundwater levels using formal likelihood methods,2016,Journal of Hydrology,in,Providing study background,,,,,,,,,,,,,,,,,
Observational cohort study: Deprivation and access to anti-dementia drugs in the UK,2016,Age and Ageing,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Ethnic differences in dietary intake at age 12 and 18 months: The Born in Bradford 1000 Study,2016,Public Health Nutrition,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Penile cancer treatment costs in England,2015,BMC Public Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
How UK internet websites portray breast milk expression and breast pumps: A qualitative study of content,2015,BMC Pregnancy and Childbirth,in,Providing study background,,,,,,,,,,,,,,,,,
Urbane: A 3D framework to support data driven decision making in urban development,2015,"2015 IEEE Conference on Visual Analytics Science and Technology, VAST 2015 - Proceedings",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Inversion structure and winter ozone distribution in the Uintah Basin, Utah, U.S.A.",2015,Atmospheric Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Mapping dominant annual land cover from 2009 to 2013 across Victoria, Australia using satellite imagery",2015,Scientific Data,in,Creating a composite dataset,,,,,,,,,,,,,,,,,
"Social encounter profiles of greater Melbourne residents, by location - a telephone survey",2015,BMC Infectious Diseases,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Not all low-carbon energy pathways are environmentally ""no-regrets"" options",2015,Global Environmental Change,in,Providing study background,,multi-source,,,,,,,,,,,,,,,
A comparison of methods used to calculate normal background concentrations of potentially toxic elements for urban soil,2015,Science of the Total Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Regional analysis of groundwater droughts using hydrograph classification,2015,Hydrology and Earth System Sciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Variation by ethnic group in premature mortality risk following self-harm: A multicentre cohort study in England,2015,BMC Psychiatry,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
A Rule-Based Decision Support System in Intelligent Hazmat Transportation System,2015,IEEE Transactions on Intelligent Transportation Systems,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Cost-effectiveness of volar locking plate versus percutaneous fixation for distal radial fractures: Economic evaluation alongside a randomised clinical trial,2015,Bone and Joint Journal,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A trial of devices for urinary incontinence after treatment for prostate cancer,2015,BJU International,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
